Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,25.610001,25.67,25.549999,25.610001,11000,25.610001
2016-08-11,25.73,25.75,25.59,25.690001,8700,25.690001
2016-08-10,25.98,26.02,25.67,25.67,20500,25.67
2016-08-09,25.780001,26.16,25.780001,26.08,9500,26.08
2016-08-08,25.860001,25.860001,25.709999,25.84,13900,25.84
2016-08-05,25.610001,25.790001,25.58,25.790001,10400,25.790001
2016-08-04,25.690001,25.73,25.60,25.68,15100,25.68
2016-08-03,25.90,25.959999,25.530001,25.709999,14900,25.709999
2016-08-02,26.00,26.10,25.83,25.959999,13700,25.959999
2016-08-01,26.02,26.18,26.00,26.10,5600,26.10
2016-07-29,25.66,25.99,25.629999,25.90,15200,25.90
2016-07-28,25.530001,25.879999,25.440001,25.85,26700,25.85
2016-07-27,25.42,25.530001,25.34,25.530001,12000,25.530001
2016-07-26,25.27,25.42,25.26,25.40,20100,25.40
2016-07-25,25.370001,25.370001,25.120001,25.26,24800,25.26
2016-07-22,25.34,25.34,25.190001,25.25,11100,25.25
2016-07-21,25.32,25.450001,25.17,25.23,29800,25.23
2016-07-20,25.85,25.85,25.33,25.33,22900,25.33
2016-07-19,25.889999,25.92,25.41,25.73,16400,25.73
2016-07-18,26.02,26.26,25.879999,25.889999,20100,25.889999
2016-07-15,25.879999,26.219999,25.73,26.09,21200,26.09
2016-07-14,25.940001,25.959999,25.719999,25.860001,13800,25.860001
2016-07-13,25.969999,25.98,25.75,25.83,17100,25.83
2016-07-12,25.559999,26.07,25.530001,25.90,35500,25.90
2016-07-11,25.51,25.58,25.34,25.58,14000,25.58
2016-07-08,25.59,25.629999,25.42,25.50,13600,25.50
2016-07-07,25.209999,25.68,25.209999,25.52,28200,25.52
2016-07-06,25.129999,25.459999,25.09,25.200001,11700,25.200001
2016-07-05,25.469999,25.58,25.07,25.219999,40900,25.219999
2016-07-01,25.40,25.74,25.24,25.440001,26400,25.440001
2016-06-30,25.17,25.49,25.17,25.26,23600,25.26
2016-06-29,25.219999,25.24,25.049999,25.15,15000,25.15
2016-06-28,25.17,25.200001,25.059999,25.200001,13900,25.200001
2016-06-27,24.85,25.16,24.85,24.99,4700,24.99
2016-06-24,24.91,25.299999,24.91,25.110001,13800,25.110001
2016-06-23,25.42,25.42,25.200001,25.25,14500,25.25
2016-06-22,25.280001,25.49,25.190001,25.360001,19500,25.360001
2016-06-21,25.059999,25.540001,25.059999,25.50,23600,25.50
2016-06-20,25.059999,25.34,25.01,25.34,16200,25.34
2016-06-17,24.91,25.00,24.870001,25.00,11500,25.00
2016-06-16,24.879999,24.93,24.799999,24.85,13200,24.85
2016-06-15,24.98,25.059999,24.879999,24.879999,15900,24.879999
2016-06-14,24.809999,24.99,24.809999,24.90,25100,24.90
2016-06-13,24.950001,25.02,24.809999,24.809999,10000,24.809999
2016-06-10,24.91,25.049999,24.889999,24.90,15900,24.90
2016-06-09,24.85,24.99,24.84,24.99,23900,24.99
2016-06-08,25.049999,25.059999,24.85,24.90,18100,24.90
2016-06-07,24.959999,25.049999,24.950001,24.959999,15400,24.959999
2016-06-06,25.059999,25.059999,24.90,24.950001,11500,24.950001
2016-06-03,24.889999,25.08,24.889999,25.07,23000,25.07
2016-06-02,24.85,24.92,24.799999,24.889999,17600,24.889999
2016-06-01,24.799999,24.969999,24.799999,24.84,19600,24.84
2016-05-31,24.68,24.85,24.67,24.75,18200,24.75
2016-05-27,24.76,24.790001,24.60,24.610001,12800,24.610001
2016-05-26,24.75,24.92,24.73,24.73,46200,24.73
2016-05-25,25.16,25.280001,25.049999,25.07,22300,25.07
2016-05-24,25.07,25.16,25.07,25.15,11800,25.15
2016-05-23,25.040001,25.15,24.92,25.030001,18300,25.030001
2016-05-20,25.120001,25.120001,24.92,25.09,7000,25.09
2016-05-19,25.09,25.09,24.809999,24.860001,16400,24.860001
2016-05-18,25.18,25.280001,24
.209999,25.17,11700,25.17
2016-05-17,25.18,25.209999,25.040001,25.059999,15100,25.059999
2016-05-16,25.200001,25.25,25.09,25.139999,16100,25.139999
2016-05-13,25.24,25.280001,25.040001,25.10,17100,25.10
2016-05-12,25.16,25.26,25.07,25.209999,23300,25.209999
2016-05-11,25.09,25.219999,25.040001,25.110001,21300,25.110001
2016-05-10,24.99,25.129999,24.959999,25.120001,54300,25.120001
2016-05-09,24.99,24.99,24.969999,24.98,4800,24.98
2016-05-06,24.969999,24.99,24.90,24.99,37600,24.99
2016-05-05,24.98,24.99,24.959999,24.99,15300,24.99
