Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,2.54,2.54,2.351,2.38,21700,2.38
2016-08-11,2.45,2.50,2.45,2.468,5400,2.468
2016-08-10,2.46,2.51,2.45,2.48,10500,2.48
2016-08-09,2.501,2.51,2.47,2.479,22900,2.479
2016-08-08,2.45,2.56,2.45,2.49,75300,2.49
2016-08-05,2.64,2.64,2.56,2.61,10700,2.61
2016-08-04,2.62,2.62,2.58,2.59,3900,2.59
2016-08-03,2.64,2.64,2.58,2.60,13200,2.60
2016-08-02,2.62,2.65,2.51,2.64,24200,2.64
2016-08-01,2.42,2.558,2.413,2.48,23000,2.48
2016-07-29,2.45,2.55,2.337,2.46,37600,2.46
2016-07-28,2.53,2.58,2.39,2.41,26200,2.41
2016-07-27,2.54,2.66,2.45,2.52,39200,2.52
2016-07-26,2.526,2.56,2.40,2.455,15300,2.455
2016-07-25,2.55,2.59,2.50,2.55,9300,2.55
2016-07-22,2.55,2.62,2.50,2.58,19600,2.58
2016-07-21,2.55,2.609,2.55,2.60,10600,2.60
2016-07-20,2.60,2.63,2.55,2.56,16200,2.56
2016-07-19,2.60,2.67,2.60,2.60,23800,2.60
2016-07-18,2.61,2.70,2.61,2.64,3600,2.64
2016-07-15,2.719,2.719,2.62,2.62,3200,2.62
2016-07-14,2.68,2.76,2.65,2.65,20800,2.65
2016-07-13,2.73,2.77,2.67,2.67,38700,2.67
2016-07-12,2.68,2.75,2.66,2.73,35600,2.73
2016-07-11,2.699,2.76,2.67,2.72,12500,2.72
2016-07-08,2.72,2.74,2.68,2.70,70500,2.70
2016-07-07,2.70,2.74,2.65,2.71,22300,2.71
2016-07-06,2.70,2.73,2.65,2.68,28900,2.68
2016-07-05,2.70,2.72,2.65,2.70,156100,2.70
2016-07-01,2.51,2.71,2.51,2.71,7100,2.71
2016-06-30,2.70,2.72,2.56,2.56,120000,2.56
2016-06-29,2.69,2.69,2.50,2.62,15900,2.62
2016-06-28,2.44,2.58,2.36,2.41,30300,2.41
2016-06-27,2.47,2.48,2.30,2.47,11400,2.47
2016-06-24,2.55,2.58,2.475,2.55,10300,2.55
2016-06-23,2.64,2.70,2.45,2.56,17900,2.56
2016-06-22,2.70,2.71,2.56,2.65,15700,2.65
2016-06-21,2.71,2.725,2.70,2.71,9700,2.71
2016-06-20,2.70,2.78,2.70,2.71,8000,2.71
2016-06-17,2.67,2.70,2.615,2.68,61000,2.68
2016-06-16,2.67,2.68,2.64,2.67,4500,2.67
2016-06-15,2.63,2.69,2.60,2.61,13800,2.61
2016-06-14,2.54,2.68,2.54,2.61,3200,2.61
2016-06-13,2.544,2.62,2.53,2.58,4900,2.58
2016-06-10,2.56,2.61,2.56,2.58,3400,2.58
2016-06-09,2.62,2.68,2.569,2.60,18300,2.60
2016-06-08,2.62,2.67,2.50,2.67,11600,2.67
2016-06-07,2.70,2.70,2.479,2.62,7500,2.62
2016-06-06,2.55,2.72,2.52,2.52,15200,2.52
2016-06-03,2.53,2.74,2.53,2.60,19600,2.60
2016-06-02,2.489,2.60,2.489,2.57,9300,2.57
2016-06-01,2.51,2.59,2.51,2.59,7300,2.59
2016-05-31,2.53,2.59,2.49,2.52,22200,2.52
2016-05-27,2.50,2.62,2.50,2.52,22400,2.52
2016-05-26,2.55,2.55,2.46,2.49,30700,2.49
2016-05-25,2.63,2.71,2.53,2.55,47800,2.55
2016-05-24,2.62,2.65,2.60,2.61,9900,2.61
2016-05-23,2.708,2.75,2.62,2.62,14200,2.62
2016-05-20,2.72,2.75,2.67,2.69,11000,2.69
2016-05-19,2.69,2.73,2.69,2.69,4900,2.69
2016-05-18,2.669,2.69,2.615,2.68,2300,2.68
2016-05-17,2.69,2.70,2.62,2.62,9800,2.62
2016-05-16,2.64,2.70,2.63,2.69,5900,2.69
2016-05-13,2.69,2.70,2.65,2.67,9000,2.67
2016-05-12,2.73,2.74,2.65,2.65,23400,2.65
2016-05-11,2.67,2.75,2.66,2.71,26800,2.71
2016-05-10,2.72,2.72,2.59,2.67,3300,2.67
2016-05-09,2.55,2.56,2.50,2.56,4700,2.56
2016-05-06,2.503,2.55,2.503,2.52,4200,2.52
2016-05-05,2.74,2.74,2.47,2.50,61300,2.50
2016-05-04,2.79,2.79,2.75,2.758,7700,2.758
2016-05-03,2.75,2.79,2.75,2.78,5100,2.78
2016-05-02,2.70,2.84,2.66,2.77,45100,2.77
2016-04-29,2.71,2.79,2.70,2.72,25700,2.72
2016-04-28,2.78,2.82,2.74,2.74,18900,2.74
2016-04-27,2.81,2.81,2.75,2.78,9900,2.78
2016-04-26,2.82,2.835,2.78,2.79,
13800,2.79
2016-04-25,2.84,2.84,2.81,2.827,8300,2.827
2016-04-22,2.84,2.88,2.80,2.80,18400,2.80
2016-04-21,2.762,2.84,2.73,2.84,37700,2.84
2016-04-20,2.78,2.85,2.75,2.78,22900,2.78
2016-04-19,2.83,2.91,2.725,2.80,31000,2.80
2016-04-18,2.761,2.86,2.69,2.79,33600,2.79
2016-04-15,2.78,2.78,2.68,2.71,13800,2.71
2016-04-14,2.78,2.94,2.73,2.74,54400,2.74
2016-04-13,2.67,2.80,2.645,2.77,46500,2.77
2016-04-12,2.53,2.61,2.505,2.596,25500,2.596
2016-04-11,2.30,2.55,2.29,2.52,60500,2.52
2016-04-08,2.36,2.36,2.27,2.32,29300,2.32
2016-04-07,2.30,2.31,2.29,2.29,11100,2.29
2016-04-06,2.22,2.35,2.22,2.30,19000,2.30
2016-04-05,2.10,2.29,2.10,2.23,45000,2.23
2016-04-04,2.02,2.12,2.02,2.10,14800,2.10
2016-04-01,2.03,2.04,2.00,2.02,22900,2.02
2016-03-31,2.06,2.10,2.05,2.05,11700,2.05
2016-03-30,2.03,2.10,2.03,2.06,8800,2.06
2016-03-29,2.10,2.10,2.03,2.03,18400,2.03
2016-03-28,2.09,2.10,2.04,2.09,25600,2.09
2016-03-24,2.07,2.10,2.05,2.10,17600,2.10
2016-03-23,2.09,2.10,2.05,2.07,15700,2.07
2016-03-22,2.10,2.10,2.05,2.10,8200,2.10
2016-03-21,1.98,2.04,1.96,2.02,24600,2.02
2016-03-18,2.07,2.10,2.01,2.02,36400,2.02
2016-03-17,2.01,2.09,2.00,2.09,25100,2.09
2016-03-16,2.50,2.50,2.00,2.03,30700,2.03
2016-03-15,2.04,2.10,1.96,1.96,10800,1.96
2016-03-14,2.09,2.10,2.08,2.08,14200,2.08
2016-03-11,2.08,2.10,2.05,2.05,8800,2.05
2016-03-10,2.096,2.10,1.94,2.05,53300,2.05
2016-03-09,2.06,2.09,2.04,2.07,94200,2.07
2016-03-08,2.00,2.10,2.00,2.05,43700,2.05
2016-03-07,2.06,2.10,2.00,2.00,78200,2.00
2016-03-04,2.22,2.22,2.06,2.06,52800,2.06
2016-03-03,2.21,2.25,2.13,2.13,25000,2.13
2016-03-02,2.20,2.34,2.00,2.23,72700,2.23
2016-03-01,2.31,2.38,2.15,2.26,23500,2.26
2016-02-29,2.32,2.35,2.24,2.27,32600,2.27
2016-02-26,2.28,2.36,2.228,2.31,13200,2.31
2016-02-25,2.34,2.35,2.21,2.24,100800,2.24
2016-02-24,2.27,2.44,2.25,2.36,14800,2.36
2016-02-23,2.33,2.35,2.271,2.31,34200,2.31
2016-02-22,2.41,2.53,2.321,2.33,10000,2.33
2016-02-19,2.301,2.39,2.30,2.34,14200,2.34
2016-02-18,2.41,2.45,2.31,2.33,47200,2.33
2016-02-17,2.348,2.41,2.28,2.41,64300,2.41
2016-02-16,2.44,2.505,2.27,2.35,46000,2.35
2016-02-12,2.39,2.70,2.29,2.37,31400,2.37
2016-02-11,2.26,2.38,2.25,2.35,18200,2.35
2016-02-10,2.43,2.44,2.284,2.33,10700,2.33
2016-02-09,2.43,2.49,2.321,2.38,31400,2.38
2016-02-08,2.57,2.61,2.43,2.43,85800,2.43
2016-02-05,2.68,2.74,2.55,2.63,11900,2.63
2016-02-04,2.66,2.71,2.56,2.69,26600,2.69
2016-02-03,2.67,2.71,2.60,2.65,30900,2.65
2016-02-02,2.66,2.70,2.65,2.66,12400,2.66
2016-02-01,2.80,2.80,2.65,2.68,89000,2.68
2016-01-29,2.69,2.69,2.60,2.63,12300,2.63
2016-01-28,2.61,2.70,2.57,2.65,10800,2.65
2016-01-27,2.665,2.70,2.665,2.68,5900,2.68
2016-01-26,2.64,2.71,2.58,2.69,47500,2.69
2016-01-25,2.64,2.78,2.52,2.61,45500,2.61
2016-01-22,2.70,2.75,2.63,2.68,38500,2.68
2016-01-21,2.75,2.80,2.65,2.72,18200,2.72
2016-01-20,2.64,2.79,2.57,2.775,36500,2.775
2016-01-19,2.80,2.80,2.632,2.70,33800,2.70
2016-01-15,2.67,2.80,2.65,2.74,19900,2.74
2016-01-14,2.923,2.923,2.65,2.72,119200,2.72
2016-01-13,2.98,2.98,2.72,2.80,29100,2.80
2016-01-12,3.03,3.04,2.95,2.98,13800,2.98
2016-01-11,3.011,3.09,3.00,3.03,12100,3.03
2016-01-08,3.12,3.12,3.00,3.00,23800,3.00
2016-01-07,3.19,3.19,2.99,3.05,21800,3.05
2016-01-06,3.17,3.28,3.165,3.21,12200,3.21
2016-01-05,3.37,3.37,3.17,3.17,6600,3.17
2016-01-04,3.18,3.25,3.17,3.18,15600,3.18
2015-12-31,3.26,3.34,3.23,3.28,21800,3.28
2015-12-30,3.36,3.36,3.24,3.25,15000,3.25
2015-12-29,3.32,3.37,3.27,3.34,34300,3.34
2015-12-28,3.28,3.40,3.28,3.33,35200,3.33
2015-12-24,3.39,3.40,3.24,3.33,2
0300,3.33
2015-12-23,3.14,3.37,3.14,3.29,222500,3.29
2015-12-22,3.18,3.20,3.08,3.16,70300,3.16
2015-12-21,3.13,3.20,3.044,3.17,74800,3.17
2015-12-18,3.14,3.20,3.07,3.15,92800,3.15
2015-12-17,3.18,3.25,3.18,3.18,12400,3.18
2015-12-16,3.20,3.25,3.20,3.21,40300,3.21
2015-12-15,3.19,3.23,3.14,3.20,32300,3.20
2015-12-14,3.17,3.17,3.14,3.17,12000,3.17
2015-12-11,3.15,3.26,3.14,3.14,17400,3.14
2015-12-10,3.14,3.21,3.14,3.19,7100,3.19
2015-12-09,3.22,3.22,3.11,3.16,19500,3.16
2015-12-08,3.20,3.30,3.20,3.20,39100,3.20
2015-12-07,3.20,3.30,3.20,3.21,55600,3.21
2015-12-04,3.23,3.23,2.98,3.20,26500,3.20
2015-12-03,3.22,3.24,3.20,3.233,13600,3.233
2015-12-02,3.22,3.28,3.20,3.22,18600,3.22
2015-12-01,3.22,3.26,3.20,3.22,8500,3.22
2015-11-30,3.21,3.28,3.20,3.24,125200,3.24
2015-11-27,3.16,3.30,3.16,3.27,27200,3.27
2015-11-25,3.20,3.25,3.18,3.18,29900,3.18
2015-11-24,3.14,3.24,3.14,3.22,17200,3.22
2015-11-23,3.17,3.28,3.16,3.19,32100,3.19
2015-11-20,3.21,3.22,3.15,3.20,30700,3.20
2015-11-19,3.20,3.26,3.15,3.24,46700,3.24
2015-11-18,3.20,3.245,2.98,3.21,20600,3.21
2015-11-17,3.23,3.23,3.18,3.20,10400,3.20
2015-11-16,3.17,3.27,3.11,3.19,26200,3.19
2015-11-13,3.23,3.24,3.15,3.21,22600,3.21
2015-11-12,3.279,3.28,3.20,3.23,15400,3.23
2015-11-11,3.29,3.29,3.22,3.28,126500,3.28
2015-11-10,3.24,3.30,3.20,3.29,19700,3.29
2015-11-09,3.28,3.37,3.24,3.30,35900,3.30
2015-11-06,3.25,3.32,3.23,3.27,31700,3.27
2015-11-05,3.25,3.27,3.23,3.25,23500,3.25
2015-11-04,3.25,3.26,3.23,3.25,56000,3.25
2015-11-03,3.20,3.30,3.12,3.25,49000,3.25
2015-11-02,3.15,3.245,3.15,3.19,194800,3.19
2015-10-30,3.19,3.20,3.112,3.18,103300,3.18
2015-10-29,3.13,3.29,3.10,3.19,248000,3.19
2015-10-28,3.05,3.30,2.97,3.24,123100,3.24
2015-10-27,3.14,3.19,3.01,3.05,62700,3.05
2015-10-26,3.20,3.20,3.13,3.14,78900,3.14
2015-10-23,3.21,3.23,3.15,3.20,34400,3.20
2015-10-22,3.31,3.31,3.20,3.21,22900,3.21
2015-10-21,3.38,3.40,3.20,3.35,33100,3.35
2015-10-20,3.399,3.43,3.343,3.41,34000,3.41
2015-10-19,3.23,3.40,3.17,3.40,58700,3.40
2015-10-16,3.24,3.40,3.20,3.22,23000,3.22
2015-10-15,3.18,3.36,3.16,3.27,34000,3.27
2015-10-14,3.18,3.46,3.17,3.18,16400,3.18
2015-10-13,3.29,3.34,3.21,3.21,30300,3.21
2015-10-12,3.35,3.44,3.27,3.27,3900,3.27
2015-10-09,3.32,3.43,3.30,3.34,38500,3.34
2015-10-08,3.35,3.469,3.35,3.42,30400,3.42
2015-10-07,3.31,3.38,3.21,3.34,34300,3.34
2015-10-06,3.40,3.40,3.13,3.33,14700,3.33
2015-10-05,3.35,3.49,3.35,3.36,18900,3.36
2015-10-02,3.20,3.38,3.20,3.35,22800,3.35
2015-10-01,2.97,3.26,2.97,3.25,17200,3.25
2015-09-30,3.02,3.045,2.90,3.00,38200,3.00
2015-09-29,3.25,3.25,2.88,2.88,75300,2.88
2015-09-28,3.55,3.55,3.19,3.23,46800,3.23
2015-09-25,3.58,3.64,3.42,3.43,17600,3.43
2015-09-24,3.55,3.60,3.53,3.56,11300,3.56
2015-09-23,3.52,3.60,3.51,3.60,17300,3.60
2015-09-22,3.49,3.54,3.42,3.48,26200,3.48
2015-09-21,3.56,3.59,3.51,3.53,21600,3.53
2015-09-18,3.61,3.70,3.51,3.55,119600,3.55
2015-09-17,3.64,3.71,3.42,3.71,18300,3.71
2015-09-16,3.63,3.74,3.63,3.67,42900,3.67
2015-09-15,3.462,3.74,3.462,3.65,35500,3.65
2015-09-14,3.58,3.66,3.56,3.63,42200,3.63
2015-09-11,3.52,3.65,3.50,3.59,24700,3.59
2015-09-10,3.55,3.75,3.55,3.62,38500,3.62
2015-09-09,3.51,3.68,3.51,3.65,57200,3.65
2015-09-08,3.48,3.60,3.48,3.57,20500,3.57
2015-09-04,3.46,3.56,3.46,3.50,23000,3.50
2015-09-03,3.49,3.49,3.41,3.48,16400,3.48
2015-09-02,3.30,3.56,3.30,3.43,19900,3.43
2015-09-01,3.22,3.38,3.20,3.28,44900,3.28
2015-08-31,3.33,3.33,3.28,3.31,8900,3.31
2015-08-28,3.23,3.29,3.21,3.26,29000,3.26
2015-08-27,3.30,3.47,3.18,3.26,28100,3.26
2015-08-26,3.26,3.33,3.16,3.32,19300,3.32
2015-08-25,3.48,3.48,3.07,3.27,58100,3.27
2015-08-24,3.25,3.28,3.18,3.28,43100,3.2
8
2015-08-21,3.45,3.54,3.42,3.47,49600,3.47
2015-08-20,3.59,3.63,3.50,3.51,34400,3.51
2015-08-19,3.63,3.69,3.63,3.65,30500,3.65
2015-08-18,3.62,3.70,3.62,3.67,27800,3.67
2015-08-17,3.65,3.98,3.65,3.69,243300,3.69
2015-08-14,3.619,3.70,3.619,3.67,12400,3.67
2015-08-13,3.62,3.71,3.60,3.68,9900,3.68
2015-08-12,3.451,3.63,3.451,3.55,14500,3.55
2015-08-11,3.57,3.57,3.50,3.52,8300,3.52
2015-08-10,3.558,3.68,3.54,3.61,14500,3.61
2015-08-07,3.57,3.60,3.421,3.55,19900,3.55
2015-08-06,3.634,3.68,3.46,3.61,34800,3.61
2015-08-05,3.62,3.70,3.62,3.68,7700,3.68
2015-08-04,3.664,3.71,3.648,3.65,11000,3.65
2015-08-03,3.65,3.69,3.64,3.66,14200,3.66
2015-07-31,3.66,3.71,3.60,3.71,25100,3.71
2015-07-30,3.66,3.75,3.65,3.67,15700,3.67
2015-07-29,3.71,3.77,3.67,3.683,12600,3.683
2015-07-28,3.86,3.86,3.71,3.72,29500,3.72
2015-07-27,3.78,3.88,3.78,3.81,77800,3.81
2015-07-24,3.74,3.83,3.71,3.78,48300,3.78
2015-07-23,3.73,3.78,3.73,3.77,23800,3.77
2015-07-22,3.775,3.80,3.701,3.73,32100,3.73
2015-07-21,3.79,3.79,3.73,3.73,11000,3.73
2015-07-20,3.67,3.82,3.67,3.73,19400,3.73
2015-07-17,3.63,3.68,3.50,3.67,51100,3.67
2015-07-16,3.69,3.698,3.65,3.65,45100,3.65
2015-07-15,3.797,3.80,3.71,3.74,15600,3.74
2015-07-14,3.78,3.80,3.77,3.79,19100,3.79
2015-07-13,3.70,3.79,3.70,3.74,6200,3.74
2015-07-10,3.72,3.72,3.682,3.72,17700,3.72
2015-07-09,3.67,3.72,3.67,3.70,34800,3.70
2015-07-08,3.65,3.74,3.65,3.67,21300,3.67
2015-07-07,3.63,3.70,3.63,3.67,20000,3.67
2015-07-06,3.58,3.74,3.58,3.66,76800,3.66
2015-07-02,3.653,3.68,3.64,3.67,4800,3.67
2015-07-01,3.70,3.71,3.65,3.69,72200,3.69
2015-06-30,3.73,3.73,3.68,3.69,26600,3.69
2015-06-29,3.73,3.74,3.70,3.70,27000,3.70
2015-06-26,3.75,3.79,3.73,3.74,57500,3.74
2015-06-25,3.73,3.81,3.73,3.75,55800,3.75
2015-06-24,3.75,3.809,3.74,3.74,27900,3.74
2015-06-23,3.77,3.80,3.73,3.75,20000,3.75
2015-06-22,3.75,3.80,3.73,3.74,22100,3.74
2015-06-19,3.72,3.76,3.72,3.75,9800,3.75
2015-06-18,3.72,3.83,3.70,3.74,26200,3.74
2015-06-17,3.79,3.80,3.66,3.73,55900,3.73
2015-06-16,3.80,3.80,3.75,3.76,23600,3.76
2015-06-15,3.72,3.80,3.70,3.78,16900,3.78
2015-06-12,3.75,3.78,3.75,3.755,20200,3.755
2015-06-11,3.81,3.825,3.73,3.73,60600,3.73
2015-06-10,3.70,3.82,3.68,3.78,38500,3.78
2015-06-09,3.67,3.70,3.63,3.70,21700,3.70
2015-06-08,3.70,3.70,3.65,3.65,24600,3.65
2015-06-05,3.72,3.74,3.68,3.72,18300,3.72
2015-06-04,3.77,3.83,3.73,3.74,10600,3.74
2015-06-03,3.83,3.84,3.73,3.79,42200,3.79
2015-06-02,3.70,3.754,3.654,3.74,44600,3.74
2015-06-01,3.63,3.827,3.60,3.712,53800,3.712
2015-05-29,3.62,3.739,3.54,3.65,52000,3.65
