Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,57.029999,57.27,56.799999,57.119999,137300,57.119999
2016-08-11,57.049999,57.43,56.290001,57.369999,113400,57.369999
2016-08-10,56.900002,57.18,56.650002,57.02,233200,57.02
2016-08-09,57.02,57.25,56.59,57.049999,127600,57.049999
2016-08-08,57.150002,57.360001,56.73,57.02,132500,57.02
2016-08-05,55.919998,56.919998,55.66,56.919998,201500,56.919998
2016-08-04,55.009998,55.549999,54.759998,55.279999,100100,55.279999
2016-08-03,54.389999,55.139999,54.389999,55.009998,91600,55.009998
2016-08-02,54.900002,55.049999,54.119999,54.349998,175300,54.349998
2016-08-01,55.310001,56.080002,54.669998,54.869999,227000,54.869999
2016-07-29,55.77,56.48,55.27,55.41,140300,55.41
2016-07-28,55.889999,56.279999,55.23,55.990002,153800,55.990002
2016-07-27,56.610001,56.889999,55.73,56.099998,252400,56.099998
2016-07-26,55.169998,55.919998,55.110001,55.779999,151100,55.779999
2016-07-25,55.310001,55.599998,55.00,55.439999,106400,55.439999
2016-07-22,54.919998,55.799999,54.52,55.529999,134500,55.529999
2016-07-21,55.66,55.66,54.59,54.689999,143500,54.689999
2016-07-20,55.91,55.91,55.299999,55.560001,146800,55.560001
2016-07-19,55.32,56.09,55.130001,55.57,108400,55.57
2016-07-18,56.290001,56.360001,55.57,55.689999,130200,55.689999
2016-07-15,56.43,56.599998,55.889999,56.279999,124400,56.279999
2016-07-14,56.290001,56.919998,55.959999,56.060001,342200,56.060001
2016-07-13,55.580002,55.810001,55.139999,55.400002,238500,55.400002
2016-07-12,54.689999,55.860001,54.689999,55.619999,169500,55.619999
2016-07-11,53.830002,54.66,53.52,54.209999,152200,54.209999
2016-07-08,53.66,53.990002,53.02,53.459999,196300,53.459999
2016-07-07,52.349998,53.330002,52.240002,52.759998,330100,52.759998
2016-07-06,51.240002,52.43,50.599998,52.380001,213400,52.380001
2016-07-05,52.00,52.00,51.040001,51.630001,402000,51.630001
2016-07-01,52.59,53.130001,51.509998,52.459999,274600,52.459999
2016-06-30,52.169998,53.209999,50.790001,53.209999,238000,53.209999
2016-06-29,51.540001,52.16,51.00,51.91,161800,51.91
2016-06-28,51.130001,51.259998,48.869999,50.93,289000,50.93
2016-06-27,52.189999,52.189999,49.900002,50.18,301100,50.18
2016-06-24,53.950001,55.259998,52.889999,52.950001,1068300,52.950001
2016-06-23,55.619999,57.00,55.02,56.91,255400,56.91
2016-06-22,55.50,55.91,54.790001,54.880001,149600,54.880001
2016-06-21,55.259998,55.700001,54.709999,55.580002,214700,55.580002
2016-06-20,55.040001,56.119999,54.389999,55.169998,129300,55.169998
2016-06-17,54.389999,54.990002,53.889999,54.299999,319100,54.299999
2016-06-16,54.66,54.84,53.560001,54.23,188800,54.23
2016-06-15,55.209999,55.759998,54.77,54.860001,143300,54.860001
2016-06-14,55.759998,56.650002,54.650002,54.939999,156000,54.939999
2016-06-13,56.23,56.77,55.689999,55.93,184300,55.93
2016-06-10,56.349998,57.09,56.119999,56.34,207900,56.34
2016-06-09,57.540001,57.540001,56.400002,57.23,117600,57.23
2016-06-08,57.599998,58.169998,57.220001,57.
779999,103600,57.779999
2016-06-07,57.799999,58.25,57.48,57.799999,119400,57.555001
2016-06-06,57.59,58.889999,57.16,57.82,222400,57.574917
2016-06-03,57.66,57.779999,55.91,57.57,234500,57.325976
2016-06-02,58.029999,58.43,57.150002,58.34,149900,58.092713
2016-06-01,57.259998,58.189999,56.779999,58.119999,226500,57.873644
2016-05-31,58.220001,58.32,56.779999,57.549999,285700,57.306061
2016-05-27,56.98,58.110001,56.869999,58.110001,320800,57.863688
2016-05-26,57.59,57.59,56.91,57.040001,193300,56.798224
2016-05-25,57.59,57.950001,56.009998,57.59,242600,57.345892
2016-05-24,56.720001,58.07,56.389999,57.599998,293300,57.355848
2016-05-23,56.09,56.939999,55.700001,56.57,252500,56.330215
2016-05-20,55.650002,56.150002,55.259998,56.099998,377700,55.862206
2016-05-19,55.369999,55.990002,54.470001,55.450001,202800,55.214963
2016-05-18,53.509998,55.84,53.060001,55.740002,204800,55.503735
2016-05-17,54.279999,54.740002,53.110001,53.540001,177000,53.31306
2016-05-16,53.790001,54.830002,53.790001,54.48,209000,54.249074
2016-05-13,54.959999,55.91,53.599998,53.790001,170500,53.562
2016-05-12,55.459999,56.150002,54.400002,55.240002,222900,55.005855
2016-05-11,55.52,55.880001,55.029999,55.25,113900,55.01581
2016-05-10,54.84,55.830002,54.57,55.540001,149500,55.304582
2016-05-09,54.639999,55.099998,54.209999,54.549999,173400,54.318777
2016-05-06,53.68,54.709999,53.380001,54.689999,360200,54.458183
2016-05-05,54.459999,54.779999,53.700001,53.790001,192100,53.562
2016-05-04,54.720001,55.23,53.490002,54.040001,266900,53.81094
2016-05-03,55.650002,55.700001,54.599998,55.060001,162300,54.826617
2016-05-02,55.650002,56.220001,55.389999,56.220001,232800,55.9817
2016-04-29,55.599998,56.150002,55.23,55.75,231700,55.513691
2016-04-28,55.84,56.419998,55.060001,55.799999,339700,55.563478
2016-04-27,54.75,56.130001,54.450001,54.970001,369300,54.736999
2016-04-26,53.27,55.16,53.27,54.700001,468600,54.468143
2016-04-25,52.82,53.060001,52.169998,52.900002,277800,52.675773
2016-04-22,53.09,53.52,52.799999,52.990002,483200,52.765392
2016-04-21,53.599998,53.93,53.099998,53.209999,409900,52.984457
2016-04-20,52.580002,53.889999,52.48,53.549999,328900,53.323016
2016-04-19,51.939999,52.799999,51.349998,52.790001,306500,52.566239
2016-04-18,51.07,52.02,50.959999,51.959999,181000,51.739755
2016-04-15,51.200001,51.630001,51.110001,51.32,246200,51.102468
2016-04-14,50.919998,51.950001,50.41,51.189999,266800,50.973018
2016-04-13,50.00,51.400002,49.959999,51.040001,354000,50.823656
2016-04-12,48.84,49.970001,48.540001,49.650002,226000,49.439549
2016-04-11,49.139999,49.900002,48.720001,48.860001,248200,48.652897
2016-04-08,49.369999,50.169998,48.560001,48.970001,270900,48.762431
2016-04-07,50.139999,50.200001,48.490002,48.959999,406700,48.752471
2016-04-06,50.68,50.939999,50.07,50.549999,419300,50.335732
2016-04-05,51.25,51.549999,50.41,50.48,333900,50.266029
2016-04-04,51.970001,51.970001,51.34,51.75,308000,51.530646
2016-04-01,51.310001,51.98,50.830002,51.91,164200,51.689968
2016-03-31,52.709999,53.689999,51.220001,51.630001,240500,51.411156
