Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,21.940001,22.15,21.709999,22.02,39500,22.02
2016-08-11,21.870001,22.030001,21.780001,21.969999,45500,21.969999
2016-08-10,22.030001,22.040001,21.75,21.84,47000,21.84
2016-08-09,22.08,22.17,21.90,22.01,88200,22.01
2016-08-08,22.190001,22.27,21.93,21.99,44600,21.99
2016-08-05,21.76,22.23,21.76,22.200001,105800,22.200001
2016-08-04,21.66,21.860001,21.559999,21.67,84700,21.67
2016-08-03,21.48,21.74,21.48,21.65,115200,21.65
2016-08-02,21.15,21.49,21.15,21.48,101200,21.48
2016-08-01,21.16,21.24,21.059999,21.190001,47100,21.190001
2016-07-29,21.15,21.280001,21.07,21.09,95400,21.09
2016-07-28,20.559999,21.40,19.969999,21.09,119000,21.09
2016-07-27,22.02,22.469999,21.709999,21.879999,112100,21.879999
2016-07-26,21.77,21.92,21.66,21.85,75500,21.85
2016-07-25,22.10,22.190001,21.559999,21.719999,94300,21.719999
2016-07-22,21.65,22.23,21.559999,22.200001,104800,22.200001
2016-07-21,21.66,21.75,21.59,21.65,96100,21.65
2016-07-20,21.66,21.790001,21.559999,21.790001,71600,21.790001
2016-07-19,21.66,21.75,21.540001,21.66,121100,21.66
2016-07-18,21.559999,21.74,21.41,21.67,129100,21.67
2016-07-15,21.299999,21.639999,21.02,21.620001,218600,21.620001
2016-07-14,21.00,21.389999,20.84,21.17,138900,21.17
2016-07-13,20.75,20.99,20.60,20.799999,174800,20.799999
2016-07-12,20.76,20.91,20.549999,20.74,266100,20.74
2016-07-11,20.610001,20.93,20.48,20.76,136500,20.76
2016-07-08,20.82,21.15,20.700001,20.74,143700,20.74
2016-07-07,20.74,20.870001,20.65,20.77,98900,20.77
2016-07-06,20.83,20.940001,20.700001,20.74,97200,20.74
2016-07-05,21.00,21.10,20.629999,20.969999,149500,20.969999
2016-07-01,21.059999,21.10,20.42,21.059999,201100,21.059999
2016-06-30,20.280001,21.02,20.280001,21.02,124000,21.02
2016-06-29,20.48,20.51,20.25,20.42,54300,20.42
2016-06-28,20.08,20.24,19.84,20.139999,66700,20.139999
2016-06-27,20.18,20.18,19.719999,19.889999,69600,19.889999
2016-06-24,20.34,20.559999,19.99,20.360001,161700,20.360001
2016-06-23,20.690001,21.280001,20.690001,21.10,170200,21.10
2016-06-22,20.57,20.719999,20.51,20.57,101800,20.57
2016-06-21,20.559999,20.67,20.41,20.66,80000,20.66
2016-06-20,20.27,20.629999,20.25,20.530001,94600,20.530001
2016-06-17,20.290001,20.43,19.690001,20.049999,144300,20.049999
2016-06-16,20.02,20.280001,19.85,20.219999,51600,20.219999
2016-06-15,20.42,20.639999,20.10,20.15,70800,20.15
2016-06-14,20.299999,20.42,20.110001,20.35,31500,20.35
2016-06-13,20.049999,20.290001,20.01,20.25,56400,20.25
2016-06-10,20.33,20.389999,20.030001,20.209999,40100,20.209999
2016-06-09,20.610001,20.610001,20.08,20.42,35500,20.42
2016-06-08,20.50,20.700001,20.49,20.639999,58000,20.639999
2016-06-07,20.57,20.67,20.40,20.49,32700,20.49
2016-06-06,20.219999,20.719999,20.219999,20.57,91100,20.57
2016-06-03,20.41,20.469999,20.01,20.43,61400,20.23
2016-06-02,20.00,20.450001,19.90,20.450001,52700,20.249805
2016-06-01,20.139999,20.190001,20.049999,20.110001,39400,19.913133
2016-05-31,20.120001,20.389999,19.76,20.190001,81000,19.99235
2016-05-27,19.940001,20.200001,19.91,20.18,50700,19.982448
2016-05
-26,19.77,19.99,19.77,19.90,61500,19.705188
2016-05-25,19.74,19.940001,19.700001,19.889999,44600,19.695286
2016-05-24,19.43,19.799999,19.43,19.75,51700,19.556657
2016-05-23,19.59,19.59,19.40,19.41,35000,19.219985
2016-05-20,19.379999,19.60,19.379999,19.60,31200,19.408126
2016-05-19,19.370001,19.51,19.16,19.40,49700,19.210083
2016-05-18,19.120001,19.629999,19.120001,19.49,62400,19.299202
2016-05-17,19.559999,19.639999,19.15,19.200001,78400,19.012042
2016-05-16,19.559999,19.76,19.540001,19.65,33800,19.457635
2016-05-13,19.59,19.610001,19.389999,19.50,32900,19.309104
2016-05-12,19.780001,19.780001,19.389999,19.58,42000,19.388321
2016-05-11,19.60,19.809999,19.50,19.559999,21300,19.368516
2016-05-10,19.57,19.700001,19.50,19.59,32000,19.398223
2016-05-09,19.40,19.57,19.35,19.50,25600,19.309104
2016-05-06,19.110001,19.75,19.110001,19.459999,37900,19.269495
2016-05-05,19.610001,19.610001,19.379999,19.440001,50300,19.249692
2016-05-04,19.610001,19.74,19.50,19.57,31600,19.378419
2016-05-03,19.870001,20.17,19.51,19.700001,55400,19.507147
2016-05-02,19.76,19.99,19.65,19.870001,106500,19.675483
2016-04-29,19.719999,19.860001,19.51,19.74,35100,19.546755
2016-04-28,19.90,20.00,19.709999,19.799999,96900,19.606167
2016-04-27,20.23,20.25,19.879999,19.91,44900,19.71509
2016-04-26,20.059999,20.309999,20.059999,20.24,36800,20.04186
2016-04-25,19.85,20.08,19.77,20.08,60300,19.883426
2016-04-22,19.66,19.90,19.639999,19.870001,48800,19.675483
2016-04-21,19.790001,19.790001,19.629999,19.700001,28000,19.507147
2016-04-20,19.65,19.799999,19.57,19.75,26400,19.556657
2016-04-19,19.780001,19.799999,19.60,19.68,46600,19.487342
2016-04-18,19.50,19.799999,19.50,19.709999,46000,19.517048
2016-04-15,19.57,19.74,19.360001,19.73,19100,19.536852
2016-04-14,19.74,19.799999,19.60,19.65,35700,19.457635
2016-04-13,19.40,19.75,19.40,19.74,53800,19.546755
2016-04-12,19.08,19.389999,18.99,19.34,29900,19.150671
2016-04-11,19.15,19.360001,19.02,19.040001,25800,18.853608
2016-04-08,19.00,19.139999,18.92,19.129999,33400,18.942726
2016-04-07,19.10,19.110001,18.809999,18.889999,41900,18.705075
2016-04-06,19.32,19.32,19.049999,19.190001,25800,19.00214
2016-04-05,19.559999,19.60,19.34,19.360001,28600,19.170475
2016-04-04,19.57,19.77,19.549999,19.73,47700,19.536852
2016-04-01,19.540001,19.709999,19.34,19.629999,34900,19.437831
2016-03-31,19.389999,19.559999,19.219999,19.51,166300,19.319007
2016-03-30,19.18,19.379999,19.02,19.27,84900,19.081356
2016-03-29,19.030001,19.200001,18.90,19.200001,38700,19.012042
2016-03-28,19.07,19.23,18.82,19.02,33400,18.833804
2016-03-24,19.09,19.16,18.879999,19.040001,32700,18.853608
2016-03-23,19.34,19.34,19.040001,19.049999,31000,18.863509
2016-03-22,19.360001,19.530001,19.27,19.33,57500,19.140768
2016-03-21,19.459999,19.52,19.24,19.48,46400,19.2893
2016-03-18,19.459999,19.50,19.200001,19.469999,75900,19.279397
2016-03-17,19.030001,19.40,18.950001,19.33,34800,19.140768
2016-03-16,19.08,19.290001,18.90,19.030001,29600,18.843706
2016-03-15,19.23,19.280001,19.059999,19.07,20400,18.883313
2016-03-14,19.48,19.50,19.23,19.26,20200,19.071454
2016-03-11,19.389999,19.50,19.219999,19.459999,31000,19.269495
2016-03-10,19.41,19.41,19.059999,19.32,43500,19.130866
2016-03-09,19.370001,19.49,19.290001,19.450001,21400,19.259594
2016-03-08,19.50,19.610001,19.360001,19.379999,37900,19.190278
2016-03-07,19.43,19.73,19.309999,19.620001,22500,19.42793
2016-03-04,19.620001,19.77,19.51,19.74,42900,19.348712
2016-03-03,19.34,19.75,19.34,19.629999,41500,19.240892
2016-03-02,19.41,19.559999,19.25,19.530001,44800,19.14
2876
2016-03-01,19.049999,19.59,19.049999,19.440001,37000,19.05466
2016-02-29,19.32,19.469999,19.08,19.09,77600,18.711597
2016-02-26,18.969999,19.48,18.969999,19.389999,59100,19.00565
2016-02-25,18.940001,19.15,18.85,18.93,60700,18.554769
2016-02-24,18.799999,18.950001,18.43,18.91,113900,18.535165
2016-02-23,18.860001,19.049999,18.780001,18.84,58200,18.466553
2016-02-22,19.129999,19.25,18.709999,18.889999,87400,18.515561
2016-02-19,18.91,19.09,18.85,19.00,65400,18.623381
2016-02-18,19.129999,19.290001,18.879999,18.91,39000,18.535165
2016-02-17,19.35,19.35,19.049999,19.08,50700,18.701795
2016-02-16,19.25,19.57,19.129999,19.24,93300,18.858623
2016-02-12,19.290001,19.370001,19.15,19.26,70800,18.878227
2016-02-11,18.959999,19.23,18.959999,19.120001,28400,18.741003
2016-02-10,19.65,19.85,19.200001,19.25,37000,18.868425
2016-02-09,19.18,19.559999,19.18,19.389999,34600,19.00565
2016-02-08,19.07,19.50,18.99,19.379999,46600,18.995848
2016-02-05,19.40,19.450001,19.120001,19.209999,64600,18.829217
2016-02-04,19.27,19.59,19.209999,19.42,50000,19.035056
2016-02-03,19.26,19.379999,18.950001,19.290001,45200,18.907633
2016-02-02,19.40,19.40,19.040001,19.17,50400,18.790011
2016-02-01,19.60,19.68,19.389999,19.57,48300,19.182082
2016-01-29,19.139999,19.68,19.139999,19.68,99900,19.289902
2016-01-28,18.90,19.26,18.860001,19.18,55600,18.799813
2016-01-27,19.07,19.32,18.690001,18.790001,45700,18.417544
2016-01-26,18.940001,19.389999,18.92,19.129999,40800,18.750803
2016-01-25,18.809999,19.059999,18.719999,18.809999,65800,18.437147
2016-01-22,19.08,19.40,18.91,19.040001,40200,18.662589
