Date,Open,High,Low,Close,Volume,Adj Close
2016-08-03,1.00,1.07,0.964,0.97,1465900,0.97
2016-08-02,0.92,1.04,0.903,0.997,2180100,0.997
2016-08-01,0.85,0.93,0.845,0.916,956900,0.916
2016-07-29,0.82,0.85,0.82,0.849,239300,0.849
2016-07-28,0.84,0.845,0.82,0.833,150600,0.833
2016-07-27,0.82,0.84,0.812,0.836,123400,0.836
2016-07-26,0.812,0.83,0.79,0.822,362400,0.822
2016-07-25,0.82,0.827,0.802,0.802,295200,0.802
2016-07-22,0.80,0.828,0.792,0.81,316500,0.81
2016-07-21,0.82,0.829,0.787,0.806,223000,0.806
2016-07-20,0.832,0.84,0.81,0.815,186200,0.815
2016-07-19,0.83,0.84,0.802,0.835,249200,0.835
2016-07-18,0.87,0.879,0.824,0.835,216100,0.835
2016-07-15,0.856,0.87,0.85,0.865,89100,0.865
2016-07-14,0.90,0.90,0.842,0.862,395200,0.862
2016-07-13,0.84,0.89,0.82,0.859,434800,0.859
2016-07-12,0.809,0.85,0.799,0.83,372700,0.83
2016-07-11,0.802,0.834,0.79,0.81,410900,0.81
2016-07-08,0.82,0.82,0.79,0.816,137300,0.816
2016-07-07,0.807,0.81,0.80,0.801,98600,0.801
2016-07-06,0.83,0.83,0.80,0.804,101900,0.804
2016-07-05,0.82,0.85,0.81,0.823,280400,0.823
2016-07-01,0.818,0.818,0.80,0.81,133900,0.81
2016-06-30,0.82,0.82,0.80,0.812,281500,0.812
2016-06-29,0.798,0.811,0.77,0.81,110800,0.81
2016-06-28,0.80,0.818,0.77,0.784,437300,0.784
2016-06-27,0.81,0.819,0.78,0.788,299300,0.788
2016-06-24,0.78,0.831,0.78,0.79,601900,0.79
2016-06-23,0.849,0.865,0.83,0.83,320000,0.83
2016-06-22,0.84,0.87,0.805,0.84,354800,0.84
2016-06-21,0.866,0.866,0.80,0.83,325400,0.83
2016-06-20,0.87,0.88,0.84,0.852,142200,0.852
2016-06-17,0.85,0.87,0.84,0.87,344800,0.87
2016-06-16,0.80,0.87,0.79,0.85,587500,0.85
