Date,Open,High,Low,Close,Volume,Adj Close
2003-04-30,52.8586666667,53.2113333333,52.5493333333,52.8526666667,20826.6666667,22.7407933333
2003-05-31,57.0938095238,58.1352380952,56.7061904762,57.69,298580.952381,24.822147619
2003-06-30,70.3914285714,71.3623809524,69.3119047619,70.5285714286,244485.714286,30.3457571429
2003-07-31,67.8036363636,68.4395454545,66.4927272727,67.5954545455,151327.272727,29.0841409091
2003-08-31,63.3476190476,64.0233333333,62.4252380952,63.5671428571,120771.428571,27.3508857143
2003-09-30,69.639,70.5845,68.945,70.11,117180.0,30.166075
2003-10-31,81.132173913,82.2808695652,80.4056521739,81.7834782609,208434.782609,35.1887956522
2003-11-30,88.1647368421,89.1994736842,87.4526315789,88.6757894737,185410.526316,38.1543210526
2003-12-31,91.6933333333,92.4733333333,90.5966666667,91.6595238095,128809.52381,39.4381380952
2004-01-31,69.9095,70.403,68.6475,69.7465,164965.0,37.506645
2004-02-29,43.3155555556,43.8827777778,42.8227777778,43.6177777778,68611.1111111,37.5346333333
2004-03-31,51.0469565217,51.6795652174,50.4417391304,51.2391304348,128139.130435,44.0930869565
2004-04-30,46.7042857143,47.0657142857,45.9957142857,46.3980952381,122385.714286,39.9272047619
2004-05-31,41.6073684211,42.0284210526,40.95,41.5521052632,120378.947368,35.7570473684
2004-06-30,41.2952380952,41.860952381,40.7771428571,41.240952381,89795.2380952,35.4893
2004-07-31,39.6623809524,40.1671428571,39.0928571429,39.609047619,109495.238095,34.0849809524
2004-08-31,40.4771428571,40.929047619,40.1180952381,40.5414285714,67019.047619,34.8873238095
2004-09-30,43.5933333333,43.9961904762,43.0719047619,43.69,58690.4761905,37.5967857143
2004-10-31,40.6052380952,41.1071428571,40.0647619048,40.5642857143,109971.428571,34.9069952381
2004-11-30,42.2419047619,42.7142857143,41.76,42.2485714286,69600.0,36.3555095238
2004-12-31,47.2277272727,48.0904545455,46.8168181818,47.6209090909,91213.6363636,40.9794636364
2005-01-31,50.9865,51.696,50.3375,50.989,76500.0,43.87783
2005-02-28,53.1205555556,54.0666666667,52.5094444444,53.3994444444,108116.666667,45.9521055556
2005-03-31,53.3927272727,53.9031818182,52.6422727273,53.0713636364,70622.7272727,45.6697818182
2005-04-30,51.3271428571,51.829047619,50.4761904762,51.0233333333,84347.6190476,43.9073666667
2005-05-31,50.2605,50.86,49.8365,50.444,47265.0,43.52419
2005-06-30,56.6713636364,57.2909090909,56.1804545455,56.7236363636,82854.5454545,48.9558818182
2005-07-31,61.138,61.7785,60.65,61.292,50700.0,52.89865
2005-08-31,57.8277272727,58.3486363636,57.0131818182,57.5954545455,51513.6363636,49.8069909091
2005-09-30,55.5423809524,56.0614285714,54.6866666667,55.2333333333,85733.3333333,47.7746904762
2005-10-31,52.6080952381,53.1933333333,51.6422857143,52.3271428571,155461.904762,45.2609380952
2005-11-30,52.8375,53.7195,52.3345,53.058,123285.0,46.014315
2005-12-31,55.649047619,56.2719047619,55.1695238095,55.740952381,59204.7619048,48.3554619048
2006-01-31,58.3125,58.9185,57.7135,58.435,86265.0,50.69223
2006-02-28,54.6378947368,55.1826315789,53.9315789474,54.7415789474,61957.8947368,47.6101947368
2006-03-31,54.1560869565,54.7,53.6252173913,54.1756521739,63004.3478261,47.1326173913
2006-04-30,54.1868421053,54.6989473684,53.4921052632,54.0689473684,83889.4736842,47.0397736842
2006-05-31,47.0309090909,47.4904545455,46.3795454545,46.7481818182,108018.181818,40.7903818182
2006-06-30,41.2513636364,41.8740909091,40.5677272727,41.2404545455,105809.090909,35.9959136364
2006-07-31,40.0989473684,40.5284210526,39.4584210526,40.0189473684,63284.2105263,34.9297473684
2006-08-31,41.9943478261,42.6139130435,41.4808695652,42.0430434783,65934.7826087,36.8305347826
2006-09-30,42.018,42.7934,41.495,42.0875,63360.0,36.87559
2006-10-31,43.1742857143,43.7338095238,42.6928571429,43.2766666667,58300.0,37.9174952381
2006-11-30,44.8038095238,45.3857142857,44.4495238095,45.0238095238,96123.8095238,39.5906047619
2006-12-31,48.6755,49.1295,48.325,48.6875,34575.0,42.81218
2007-01-31,47.7745,48.5025,47.3375,48.0365,65055.0,42.23972
2007-02-28,49.3642105263,49.6647368421,48.8068421053,49.1247368421,54473.6842105,43.3331842105
2007-03-31,43.2031818182,43.5836363636,42.5468181818,43.0159090909,66881.8181818,37.9445590909
2007-04-30,39.8694736842,40.3189473684,39.4752631579,39.9268421053,33431.5789474,35.2196947368
2007-05-31,41.0945454545,41.5940909091,40.7604545455,41.3431818182,52813.6363636,36.6068772727
2007-06-30,39.6175,39.8215,39.0855,39.5205,103660.0,34.999175
2007-07-31,32.9114285714,33.2228571429,32.3276190476,32.8361904762,61623.8095238,29.0795714286
2007-08-31,29.44,30.0882608696,28.6286956522,29.6265217391,66321.7391304,26.3811217391
2007-09-30,23.9438888889,24.3072222222,23.4338888889,23.8327777778,29050.0,21.2220222222
2007-10-31,22.3556521739,22.7669565217,21.6091304348,22.1252173913,30339.1304348,19.7015304348
2007-11-30,17.4452380952,17.7004761905,16.6885714286,17.0161904762,25738.0952381,15.266847619
2007-12-31,16.0268421053,16.5357894737,15.6,16.1326315789,19063.1578947,14.4741105263
2008-01-31,14.4147619048,15.1685714286,13.8685714286,14.6342857143,24971.4285714,13.1298238095
2008-02-29,17.975,18.521,17.5675,18.4055,35805.0,16.638725
2008-03-31,15.4426315789,16.0621052632,14.9467368421,15.5805263158,83510.5263158,14.1045631579
2008-04-30,17.6104545455,18.1540909091,16.9577272727,17.5445454545,88427.2727273,15.8825363636
2008-05-31,16.7957142857,17.1461904762,16.2871428571,16.7271428571,54876.1904762,15.2886190476
2008-06-30,13.608,13.995,13.1565,13.4855,44015.0,12.325745
2008-07-31,10.1809090909,10.9340909091,9.77863636364,10.4245454545,88450.0,9.52803181818
2008-08-31,10.0614285714,10.5204761905,9.75428571429,10.1580952381,387466.666667,9.42217142857
2008-09-30,11.969047619,12.7638095238,11.0528571429,11.9380952381,128800.0,11.0727571429
2008-10-31,6.92913043478,7.33956521739,6.22217391304,6.7,195056.521739,6.22497826087
2008-11-30,4.76789473684,5.21210526316,4.33578947368,4.75473684211,381368.421053,4.43573157895
2008-12-31,6.46714285714,6.88666666667,6.03571428571,6.47238095238,72142.8571429,6.03812857143
2009-01-31,6.484,6.861,5.928,6.382,103970.0,5.95561
2009-02-28,5.65315789474,6.04263157895,5.28684210526,5.60105263158,79289.4736842,5.25936315789
2009-03-31,6.3029047619,6.70619047619,5.87142857143,6.23,51066.6666667,5.84993333333
2009-04-30,6.35095238095,6.80333333333,6.15142857143,6.49428571429,67571.4285714,6.0981
2009-05-31,7.6215,7.9645,7.297505,7.5555,50555.0,7.13149
2009-06-30,6.54571428571,6.77714285714,6.33380952381,6.55952380952,35885.7142857,6.19141428571
2009-07-31,7.51409090909,7.785,7.34318181818,7.60409090909,78540.9090909,7.19718181818
2009-08-31,10.5533333333,10.9247619048,10.3204761905,10.6642857143,68076.1904762,10.1199904762
2009-09-30,12.105,12.389,11.73355,12.0495,59880.0,11.434495
2009-10-31,10.81,11.0841590909,10.5031818182,10.7313636364,51409.0909091,10.1967136364
2009-11-30,10.7125,10.9465,10.46875,10.6695,49680.0,10.162125
2009-12-31,9.57952380952,9.72,9.3819047619,9.54904761905,82295.2380952,9.09494285714
2010-01-31,11.8231578947,12.1305263158,11.6157894737,11.9,63568.4210526,11.3460105263
2010-02-28,12.8726315789,13.1554736842,12.5165789474,12.9273684211,36610.5263158,12.3543894737
2010-03-31,13.7169565217,13.9404347826,13.5113043478,13.6986956522,23073.9130435,13.0877608696
2010-04-30,14.9733333333,15.3904714286,14.7223809524,15.0685714286,34700.0,14.4006952381
2010-05-31,15.221,15.522,14.75265,15.103,48470.0,14.468665
2010-06-30,12.3872727273,12.5836363636,12.0306409091,12.2509090909,36513.6363636,11.7330681818
2010-07-31,11.6876190476,11.9819047619,11.4219047619,11.76,23090.4761905,11.2853142857
2010-08-31,10.9272727273,11.0881818182,10.7286363636,10.9213636364,16704.5454545,10.4995681818
2010-09-30,11.613,11.7635,11.4135,11.639005,53795.0,11.189495
2010-10-31,12.3253809524,12.4915714286,12.1345,12.3019095238,28852.3809524,11.8510809524
2010-11-30,12.7676190476,12.9357142857,12.5752380952,12.7761952381,16419.047619,12.3208761905
2010-12-31,14.5713636364,14.8522727273,14.3677272727,14.66,47304.5454545,14.1350590909
2011-01-31,16.2835,16.6075,16.01,16.250995,38540.0,15.685375
2011-02-28,16.5152631579,16.8110526316,16.2732631579,16.5715789474,31800.0,16.0202263158
2011-03-31,15.9326086957,16.1004347826,15.6387,15.8517391304,18191.3043478,15.3243304348
2011-04-30,14.8495,15.0435,14.71625,14.8695,20805.0,14.3846
2011-05-31,14.5971428571,14.7581380952,14.440952381,14.6169047619,16357.1428571,14.1684190476
2011-06-30,14.3054545455,14.485,14.0654545455,14.2622727273,27290.9090909,13.8246681818
2011-07-31,14.6273684211,14.8157894737,14.4326315789,14.5852631579,23047.3684211,14.1732473684
2011-08-31,11.2056521739,11.4317391304,10.7996130435,11.0839130435,55426.0869565,10.7723608696
2011-09-30,10.4366666667,10.6385714286,10.1779904762,10.3838095238,41657.1428571,10.0919285714
2011-10-31,11.5815,11.9145,11.26253,11.6155,47990.0,11.312235
2011-11-30,13.095,13.3195454545,12.8678045455,13.1254818182,53645.4545455,12.8012454545
2011-12-31,14.925952381,15.1452380952,14.7355285714,14.9504761905,47309.5238095,14.5811333333
2012-01-31,17.2286363636,17.5381818182,16.9077272727,17.2345454545,51704.5454545,16.8176636364
2012-02-29,18.4447619048,18.7642857143,18.1819047619,18.4638095238,50219.047619,18.0482142857
2012-03-31,20.8071428571,21.1731904762,20.5207,20.9128571429,45814.2857143,20.4421380952
2012-04-30,21.2438095238,21.6895238095,20.8619047619,21.3080952381,32371.4285714,20.8400857143
2012-05-31,22.5391304348,23.0471695652,22.0156521739,22.4930434783,34395.6521739,22.0291347826
2012-06-30,20.548,21.14675,20.0985,20.5775,32185.0,20.153105
2012-07-31,23.9022727273,24.255,23.4268181818,23.8295454545,47586.3636364,23.3670227273
2012-08-31,24.8343478261,25.21,24.4865217391,24.916826087,20908.6956522,24.4424304348
2012-09-30,27.5452631579,27.9739421053,27.1110578947,27.5336842105,34615.7894737,27.0094684211
2012-10-31,28.5686956522,28.8352173913,28.1308695652,28.5326086957,35343.4782609,28.0152130435
2012-11-30,29.9372727273,30.4772727273,29.3163636364,29.9234090909,55600.0,29.3951363636
2012-12-31,30.115,30.440125,29.6535,30.0635,50980.0,29.532745
2013-01-31,33.2382608696,33.5630434783,32.8495695652,33.2260869565,36604.3478261,32.6428173913
2013-02-28,31.0995,31.4085,30.5005,30.8295,28205.0,30.3208
2013-03-31,32.09,32.474,31.685,32.1785,54515.0,31.64754
2013-04-30,31.0422727273,31.4454590909,30.3513636364,30.9522727273,33036.3636364,30.4550818182
2013-05-31,33.4607826087,33.822173913,32.9650434783,33.3226086957,26900.0,32.816773913
2013-06-30,29.3431578947,29.7594736842,28.6232315789,29.1152631579,31563.1578947,28.6732947368
2013-07-31,27.82,28.1282608696,27.2381521739,27.657826087,57634.7826087,27.2699130435
2013-08-31,26.6081818182,26.9665863636,26.2418181818,26.5468181818,56890.9090909,26.1829681818
2013-09-30,27.74,28.2685,27.38761,27.8215,32590.0,27.440175
2013-10-31,29.1304347826,29.5043478261,28.6884782609,29.0960869565,38000.0,28.719326087
2013-11-30,28.647,29.0487,28.26597,28.61,28625.0,28.25868
2013-12-31,30.77455,31.2790454545,30.6336363636,31.0054545455,23390.9090909,30.6247272727
2014-01-31,32.2147869565,32.6552173913,31.9096782609,32.2343478261,23669.5652174,31.8457434783
2014-02-28,33.81825,34.2749,33.47352,33.906,12545.0,33.529085
