Date,Open,High,Low,Close,Volume,Adj Close
2010-08-31,11.63,11.81,11.5025,11.565,111925.0,7.01320425
2010-09-30,11.7719047619,11.8533333333,11.7042857143,11.7695238095,20823.8095238,7.18722061905
2010-10-31,12.75,12.8925,12.5965,12.7585,59670.0,7.8500417
2010-11-30,13.79,13.9357142857,13.6038095238,13.7676190476,21604.7619048,8.53446128571
2010-12-31,14.05,14.2831818182,13.9218181818,14.1340909091,17368.1818182,8.82060809091
2011-01-31,14.612,14.7435,14.388,14.5795,16910.0,9.1576647
2011-02-28,14.4011111111,14.5261111111,14.2811111111,14.4127777778,11811.1111111,9.11249555556
2011-03-31,14.437826087,14.5517391304,14.2947826087,14.397826087,12600.0,9.16587508696
2011-04-30,14.0995,14.2635,14.024,14.1045,10955.0,9.0401796
2011-05-31,12.712,12.8625,12.5745,12.709,149785.0,8.20105765
2011-06-30,12.7440909091,12.8454545455,12.5954545455,12.74,78777.2727273,8.27848927273
2011-07-31,12.971,13.0935,12.8545,12.9785,39815.0,8.49710635
2011-08-31,11.8336363636,12.0231818182,11.4786363636,11.6654545455,56036.3636364,7.69478804545
2011-09-30,11.3328571429,11.5119047619,11.1780952381,11.3419047619,40023.8095238,7.54553709524
2011-10-31,11.6185714286,11.7866666667,11.3333333333,11.650952381,39733.3333333,7.8130407619
2011-11-30,11.73,11.8965,11.5875,11.745,26530.0,7.93919925
2011-12-31,11.7933333333,11.8971428571,11.5885714286,11.7714285714,43233.3333333,8.02316890476
2012-01-31,12.507,12.6045,12.4105,12.534,40790.0,8.6070669
2012-02-29,12.8763157895,12.9521052632,12.7936842105,12.8868421053,35289.4736842,8.91574052632
2012-03-31,13.0540909091,13.1763636364,12.9163636364,13.05,33686.3636364,9.09352022727
2012-04-30,13.249,13.4415,13.1425,13.2995,35510.0,9.33298295
2012-05-31,13.2622727273,13.4240909091,13.075,13.2154545455,33790.9090909,9.33806990909
2012-06-30,13.0847619048,13.2542857143,12.9357142857,13.1404761905,53161.9047619,9.35553561905
2012-07-31,13.7557142857,13.8476190476,13.6428571429,13.7476190476,34457.1428571,9.85749171429
2012-08-31,13.3336363636,13.4559090909,13.2086363636,13.3218181818,208509.090909,9.61517881818
2012-09-30,13.2347368421,13.3263157895,13.1536842105,13.2342105263,150894.736842,9.62344731579
2012-10-31,13.1814285714,13.2828571429,13.0723809524,13.1819047619,134604.761905,9.65058171429
2012-11-30,13.2414285714,13.3871428571,13.0357142857,13.2304761905,342342.857143,9.76254271429
2012-12-31,13.8175,13.918,13.6475,13.824,149985.0,10.27151245
2013-01-31,14.2733333333,14.3538095238,14.1504761905,14.2528571429,117247.619048,10.6618608095
2013-02-28,14.69,14.7989473684,14.5663157895,14.7010526316,97368.4210526,11.0707231053
2013-03-31,14.9768421053,15.0973684211,14.87,15.0163157895,81452.6315789,11.3769522105
2013-04-30,15.8422727727,16.0554545455,15.6872729091,15.8922728636,79490.9090909,12.1186715455
2013-05-31,16.8468179091,17.0822726818,16.6318181818,16.8854544545,98995.4545455,12.9489409091
2013-06-30,16.1725,16.3759999,15.8610002,16.11599995,121905.0,12.4224334
2013-07-31,16.4000003182,16.5345457273,16.2263637727,16.3895455455,70581.8181818,12.7122465
2013-08-31,15.3361904762,15.5238095714,15.1095238095,15.275238,73119.047619,11.9165075714
2013-09-30,14.609,14.7425,14.473,14.6235,46885.0,11.482933
2013-10-31,13.8330434783,13.9447826087,13.697826087,13.8160869565,351678.26087,10.9176854783
2013-11-30,13.503,13.605,13.359,13.4815,114690.0,10.72616165
2013-12-31,13.1680952381,13.2833333333,13.0295238095,13.1652380952,117361.904762,10.5420284762
2014-01-31,13.5842857143,13.7023809524,13.4661904762,13.5842857143,104923.809524,10.962817381
2014-02-28,13.8426315789,13.9815789474,13.7326315789,13.8710526316,102068.421053,11.2339852632
2014-03-31,14.5471428571,14.660952381,14.4142857143,14.5357142857,95138.0952381,11.888993619
2014-04-30,14.1061904762,14.1952380952,13.969047619,14.0704761905,75052.3809524,11.5806024762
2014-05-31,14.0680952381,14.1676190476,14.0042857143,14.0914285714,104733.333333,11.6844405714
2014-06-30,14.5235,14.628,14.4375,14.5555,108600.0,12.15004205
2014-07-31,15.1954545455,15.2963636364,15.0790909091,15.1854545455,99313.6363636,12.7568528636
2014-08-31,15.110952381,15.1847619048,15.0023809524,15.0957142857,75419.047619,12.761556619
2014-09-30,14.496,14.593,14.3505,14.4415,118840.0,12.28585325
2014-10-31,14.3826086957,14.5204347826,14.2373913043,14.4030434783,98726.0869565,12.335094913
2014-11-30,14.9384210526,15.0089473684,14.81,14.9173684211,75626.3157895,12.8589379474
2014-12-31,14.8585714286,14.9971428571,14.7438095238,14.8747619048,84657.1428571,12.8953888571
2015-01-31,15.6070001,15.76900015,15.48200005,15.647,99525.0,13.6547429
2015-02-28,15.7131578947,15.8352631579,15.5352631579,15.6794737368,85168.4210526,13.7644021579
2015-03-31,15.7681818182,15.9140908182,15.6281818636,15.7818183182,69295.4545455,13.9370197273
2015-04-30,15.7052380952,15.7733333333,15.5547619048,15.6228571429,71247.6190476,13.8748142381
2015-05-31,14.322,14.434,14.2005,14.2905,105955.0,12.778327
2015-06-30,13.81,13.94,13.6957142857,13.789047619,239066.666667,12.4131980952
2015-07-31,13.1804545455,13.3045454545,13.0745454545,13.1572727273,206081.818182,11.9341872727
